Template,Fund_Code,Trade_Date,Total_Amount,Number_of_Units,Filename
Manual,SCBRMS&P500,2024-02-05,1000,62.4902,
Manual,LHTPROP,2024-02-05,500,66.6266,
Manual,SCBNK225D,2024-02-05,500,17.801,
Manual,SCBTRAVEL(A),2024-02-05,300,41.124,
Manual,K-SET50,2024-02-05,500,38.247,
Manual,SCBSET50,2024-02-05,500,28.3871,
Manual,K-VIETNAM,2024-02-05,500,38.247,
Manual,LHTPROP,2024-01-05,500,64.6237,
Manual,SCBNK225D,2024-01-09,500,30.5872,
Manual,SCBTRAVEL(A),2024-01-08,300,42.0103,
Manual,SCBS&P500,2024-01-08,500,20.8378,
Manual,K-USXNDQ-A(D),2024-01-08,500,22.4295,
Manual,K-VIETNAM,2024-01-08,500,40.2304,
Manual,K-SET50,2024-01-08,500,16.1517,
Manual,SCBSET50,2024-01-08,500,27.6498,
Manual,K-CHANGE-SSF,2023-12-06,500,29.3599,
Manual,LHTPROP,2023-12-06,500,67.6068,
Manual,SCBTRAVEL(A),2023-12-06,300,43.7062,
Manual,SCBS&P500,2023-12-06,500,21.4194,
Manual,K-USXNDQ-A(D),2023-12-06,500,23.577,
Manual,K-VIETNAM,2023-12-06,500,42.0086,
Manual,K-SET50,2023-12-06,500,16.362,
Manual,SCBSET50,2023-12-06,500,28.0141,
Manual,SCBNK225D,2023-12-06,500,31.0154,
Manual,K-CHANGE-SSF,2023-11-06,500,30.8874,
Manual,LHTPROP,2023-11-06,500,69.4319,
Manual,SCBTRAVEL(A),2023-11-06,300,46.9388,
Manual,SCBS&P500,2023-11-06,500,22.2638,
Manual,K-USXNDQ-A(D),2023-11-06,500,24.1787,
Manual,K-VIETNAM,2023-11-06,500,42.6017,
Manual,K-SET50,2023-11-06,500,16.0056,
Manual,SCBSET50,2023-11-06,500,27.4062,
Manual,SCBNK225D,2023-11-06,500,31.7293,
Manual,LHTPROP,2023-10-05,500,68.0874,
Manual,SCBTRAVEL(A),2023-10-05,300,45.9446,
Manual,SCBS&P500,2023-10-05,500,22.7018,
Manual,K-USXNDQ-A(D),2023-10-05,500,24.7007,
Manual,K-VIETNAM,2023-10-05,500,39.3366,
Manual,K-SET50,2023-10-05,500,15.7968,
Manual,SCBSET50,2023-10-05,500,27.047,
Manual,SCBNK225D,2023-10-05,500,32.8329,
Receipt,SCBTRAVEL(A),2023-09-05,300,41.8918,confirmation_note_8882309050002399.pdf
Receipt,SCBS&P500,2023-09-05,500,21.4367,confirmation_note_8882309050000699.pdf
Receipt,K-USXNDQ-A(D),2023-09-05,500,23.4484,confirmation_note_8882309050000767.pdf
Receipt,K-VIETNAM,2023-09-05,500,36.8107,confirmation_note_8882309050000706.pdf
Receipt,K-SET50,2023-09-05,500,14.8732,confirmation_note_8882309050000751.pdf
Receipt,LHTPROP,2023-09-05,500,64.1939,confirmation_note_8882309050001515.pdf
Receipt,SCBSET50,2023-09-05,500,25.4653,confirmation_note_8882309050000704.pdf
Receipt,SCBNK225D,2023-09-05,500,31.239,confirmation_note_8882309050002212.pdf
Receipt,SCBTRAVEL(A),2023-08-07,300,39.9904,confirmation_note_8882308050002890.pdf
Receipt,SCBS&P500,2023-08-07,500,21.2946,confirmation_note_8882308050001659.pdf
Receipt,K-USXNDQ-A(D),2023-08-07,500,23.1775,confirmation_note_8882308050002187.pdf
Receipt,LHTPROP,2023-08-07,500,63.3729,confirmation_note_8882308050000979.pdf
Receipt,SCBSET50,2023-08-07,500,25.4169,confirmation_note_8882308050001653.pdf
Receipt,SCBNK225D,2023-08-07,500,31.8664,confirmation_note_8882308050001986.pdf
Receipt,K-SET50,2023-08-07,500,14.8442,confirmation_note_8882308050001657.pdf
Receipt,K-VIETNAM,2023-08-07,500,36.9175,confirmation_note_8882308050001887.pdf
Receipt,SCBTRAVEL(A),2023-07-05,300,40.101,confirmation_note_8882307050002529.pdf
Receipt,SCBS&P500,2023-07-05,500,21.5418,confirmation_note_8882307050001577.pdf
Receipt,K-USXNDQ-A(D),2023-07-05,500,23.4007,confirmation_note_8882307050000441.pdf
Receipt,LHTPROP,2023-07-05,500,63.2831,confirmation_note_8882307050000583.pdf
Receipt,SCBNK225D,2023-07-05,500,30.912,confirmation_note_8882307050001272.pdf
Receipt,SCBSET50,2023-07-05,500,26.1123,confirmation_note_8882307050001586.pdf
Receipt,K-VIETNAM,2023-07-05,500,40.79,confirmation_note_8882307050001857.pdf
Receipt,K-SET50,2023-07-05,500,15.2486,confirmation_note_8882307050001549.pdf
Receipt,SCBTRAVEL(A),2023-07-03,500,66.2444,confirmation_note_8882306300004291.pdf
Receipt,SCBNK225D,2023-06-19,500,30.9004,confirmation_note_8882306170000796.pdf
Receipt,K-USXNDQ-A(D),2023-06-06,500,24.3725,confirmation_note_8882306050001506.pdf
Receipt,SCBS&P500,2023-06-06,500,22.1673,confirmation_note_8882306050001381.pdf
Receipt,K-SET50,2023-06-06,500,15.2841,confirmation_note_8882306050001323.pdf
Receipt,K-VIETNAM,2023-06-06,500,41.3975,confirmation_note_8882306050001529.pdf
Receipt,LHTPROP,2023-06-06,500,60.4543,confirmation_note_8882306050001740.pdf
Receipt,SCBSET50,2023-06-06,500,26.1729,confirmation_note_8882306050001371.pdf
Receipt,K-USXNDQ-A(D),2023-05-08,500,26.3245,confirmation_note_8882305050002276.pdf
Receipt,SCBS&P500,2023-05-08,500,22.9553,confirmation_note_8882305050002222.pdf
Receipt,LHTPROP,2023-05-08,500,61.2287,confirmation_note_8882305050002587.pdf
Receipt,K-VIETNAM,2023-05-08,500,44.5752,confirmation_note_8882305050002289.pdf
Receipt,K-SET50,2023-05-08,500,14.86,confirmation_note_8882305050002200.pdf
Receipt,SCBSET50,2023-05-08,500,25.4487,confirmation_note_8882305050001142.pdf
Receipt,K-USXNDQ-A(D),2023-04-05,500,26.8795,confirmation_note_8882304050001229.pdf
Receipt,SCBS&P500,2023-04-05,500,23.1349,confirmation_note_8882304050001110.pdf
Receipt,K-VIETNAM,2023-04-05,500,42.8971,confirmation_note_8882304050001013.pdf
Receipt,K-SET50,2023-04-05,500,15.0187,confirmation_note_8882304050001106.pdf
Receipt,LHTPROP,2023-04-05,500,60.7127,confirmation_note_8882304050001389.pdf
Receipt,SCBSET50,2023-04-05,500,25.7232,confirmation_note_8882304050001114.pdf
Receipt,K-USXNDQ-A(D),2023-03-07,500,28.4454,confirmation_note_8882303070001856.pdf
Receipt,SCBS&P500,2023-03-07,500,23.6188,confirmation_note_8882303070001664.pdf
Receipt,K-SET50,2023-03-07,500,14.7148,confirmation_note_8882303070001659.pdf
Receipt,K-VIETNAM,2023-03-07,500,44.5831,confirmation_note_8882303070001795.pdf
Receipt,LHTPROP,2023-03-07,500,58.4932,confirmation_note_8882303070002422.pdf
Receipt,SCBSET50,2023-03-07,500,25.2059,confirmation_note_8882303070001668.pdf
Receipt,K-CASH,2023-02-15,2,0.1502,confirmation_note_8882302150005172.pdf
Receipt,SCBS&P500,2023-02-06,500,22.9315,confirmation_note_8882302060001438.pdf
Receipt,K-USXNDQ-A(D),2023-02-06,500,27.3155,confirmation_note_8882302060001627.pdf
Receipt,SCBSET50,2023-02-06,500,24.5689,confirmation_note_8882302060001442.pdf
Receipt,K-VIETNAM,2023-02-06,500,42.4415,confirmation_note_8882302060001963.pdf
Receipt,K-SET50,2023-02-06,500,14.3437,confirmation_note_8882302060001434.pdf
Receipt,LHTPROP,2023-02-06,500,55.7177,confirmation_note_8882302060002261.pdf
Receipt,SCBS&P500,2023-01-17,500,23.5371,confirmation_note_8882301170002365.pdf
Receipt,K-USXNDQ-A(D),2023-01-17,"1,000.00",58.5099,confirmation_note_8882301170002377.pdf
Receipt,SCBSET50,2023-01-17,"1,000.00",48.8507,confirmation_note_8882301170002367.pdf
Receipt,K-SET50,2023-01-17,500,14.2598,confirmation_note_8882301170002363.pdf
